   DEBUG | connectionpool.py | Line227 | 2022-09-06 12:51:52,681 | Starting new HTTP connection (1): wthrcdn.etouch.cn:80
   DEBUG | connectionpool.py | Line452 | 2022-09-06 12:51:52,724 | http://wthrcdn.etouch.cn:80 "GET /weather_mini?city=%E5%93%A5%E8%B0%AD%E5%B8%82 HTTP/1.1" 200 60
    INFO | load_data.py | Line33 | 2022-09-06 12:53:17,217 | 加载了data.yaml中的数据
    INFO | load_data.py | Line33 | 2022-09-06 12:53:55,743 | 加载了data.yaml中的数据
    INFO | load_data.py | Line59 | 2022-09-06 12:53:55,755 | 加载了data.xlsx中的数据
    INFO | simple_requests.py | Line18 | 2022-09-06 12:53:56,256 | 正在处理GET请求
   DEBUG | connectionpool.py | Line227 | 2022-09-06 12:53:56,264 | Starting new HTTP connection (1): wthrcdn.etouch.cn:80
   DEBUG | connectionpool.py | Line452 | 2022-09-06 12:53:56,313 | http://wthrcdn.etouch.cn:80 "GET /weather_mini?city= HTTP/1.1" 200 60
    INFO | simple_requests.py | Line38 | 2022-09-06 12:53:56,315 | 返回状态码不符200!=400
    INFO | simple_requests.py | Line42 | 2022-09-06 12:53:56,316 | 不存在指定的字符串模式[invalid-citykey]
    INFO | load_data.py | Line33 | 2022-09-06 12:54:18,602 | 加载了data.yaml中的数据
    INFO | load_data.py | Line59 | 2022-09-06 12:54:18,613 | 加载了data.xlsx中的数据
    INFO | simple_requests.py | Line18 | 2022-09-06 12:54:19,120 | 正在处理GET请求
   DEBUG | connectionpool.py | Line227 | 2022-09-06 12:54:19,124 | Starting new HTTP connection (1): wthrcdn.etouch.cn:80
   DEBUG | connectionpool.py | Line452 | 2022-09-06 12:54:19,156 | http://wthrcdn.etouch.cn:80 "GET /weather_mini?city= HTTP/1.1" 200 60
    INFO | load_data.py | Line33 | 2022-09-06 12:56:56,007 | 加载了data.yaml中的数据
    INFO | load_data.py | Line62 | 2022-09-06 12:56:56,018 | 加载了data.xlsx中的数据
    INFO | simple_requests.py | Line18 | 2022-09-06 12:56:56,520 | 正在处理GET请求
   DEBUG | connectionpool.py | Line227 | 2022-09-06 12:56:56,524 | Starting new HTTP connection (1): wthrcdn.etouch.cn:80
   DEBUG | connectionpool.py | Line452 | 2022-09-06 12:56:56,675 | http://wthrcdn.etouch.cn:80 "GET /weather_mini HTTP/1.1" 200 None
    INFO | simple_requests.py | Line42 | 2022-09-06 12:56:56,691 | 不存在指定的字符串模式[invalid-citykey]
    INFO | load_data.py | Line33 | 2022-09-06 14:48:36,905 | 加载了data.yaml中的数据
    INFO | load_data.py | Line62 | 2022-09-06 14:48:36,936 | 加载了data.xlsx中的数据
   DEBUG | factory.py | Line90 | 2022-09-06 14:48:36,936 | Looking for locale `en_US` in provider `faker.providers.address`.
   DEBUG | factory.py | Line104 | 2022-09-06 14:48:36,952 | Provider `faker.providers.address` has been localized to `en_US`.
   DEBUG | factory.py | Line90 | 2022-09-06 14:48:36,952 | Looking for locale `en_US` in provider `faker.providers.automotive`.
   DEBUG | factory.py | Line104 | 2022-09-06 14:48:36,968 | Provider `faker.providers.automotive` has been localized to `en_US`.
   DEBUG | factory.py | Line90 | 2022-09-06 14:48:36,968 | Looking for locale `en_US` in provider `faker.providers.bank`.
   DEBUG | factory.py | Line98 | 2022-09-06 14:48:36,968 | Specified locale `en_US` is not available for provider `faker.providers.bank`. Locale reset to `en_GB` for this provider.
   DEBUG | factory.py | Line90 | 2022-09-06 14:48:36,968 | Looking for locale `en_US` in provider `faker.providers.barcode`.
   DEBUG | factory.py | Line104 | 2022-09-06 14:48:36,968 | Provider `faker.providers.barcode` has been localized to `en_US`.
   DEBUG | factory.py | Line90 | 2022-09-06 14:48:36,983 | Looking for locale `en_US` in provider `faker.providers.color`.
   DEBUG | factory.py | Line104 | 2022-09-06 14:48:36,983 | Provider `faker.providers.color` has been localized to `en_US`.
   DEBUG | factory.py | Line90 | 2022-09-06 14:48:36,983 | Looking for locale `en_US` in provider `faker.providers.company`.
   DEBUG | factory.py | Line104 | 2022-09-06 14:48:36,983 | Provider `faker.providers.company` has been localized to `en_US`.
   DEBUG | factory.py | Line90 | 2022-09-06 14:48:36,983 | Looking for locale `en_US` in provider `faker.providers.credit_card`.
   DEBUG | factory.py | Line104 | 2022-09-06 14:48:36,999 | Provider `faker.providers.credit_card` has been localized to `en_US`.
   DEBUG | factory.py | Line90 | 2022-09-06 14:48:36,999 | Looking for locale `en_US` in provider `faker.providers.currency`.
   DEBUG | factory.py | Line104 | 2022-09-06 14:48:36,999 | Provider `faker.providers.currency` has been localized to `en_US`.
   DEBUG | factory.py | Line90 | 2022-09-06 14:48:36,999 | Looking for locale `en_US` in provider `faker.providers.date_time`.
   DEBUG | factory.py | Line104 | 2022-09-06 14:48:36,999 | Provider `faker.providers.date_time` has been localized to `en_US`.
   DEBUG | factory.py | Line115 | 2022-09-06 14:48:36,999 | Provider `faker.providers.file` does not feature localization. Specified locale `en_US` is not utilized for this provider.
   DEBUG | factory.py | Line90 | 2022-09-06 14:48:36,999 | Looking for locale `en_US` in provider `faker.providers.geo`.
   DEBUG | factory.py | Line104 | 2022-09-06 14:48:36,999 | Provider `faker.providers.geo` has been localized to `en_US`.
   DEBUG | factory.py | Line90 | 2022-09-06 14:48:37,014 | Looking for locale `en_US` in provider `faker.providers.internet`.
   DEBUG | factory.py | Line104 | 2022-09-06 14:48:37,014 | Provider `faker.providers.internet` has been localized to `en_US`.
   DEBUG | factory.py | Line115 | 2022-09-06 14:48:37,014 | Provider `faker.providers.isbn` does not feature localization. Specified locale `en_US` is not utilized for this provider.
   DEBUG | factory.py | Line90 | 2022-09-06 14:48:37,014 | Looking for locale `en_US` in provider `faker.providers.job`.
   DEBUG | factory.py | Line104 | 2022-09-06 14:48:37,014 | Provider `faker.providers.job` has been localized to `en_US`.
   DEBUG | factory.py | Line90 | 2022-09-06 14:48:37,030 | Looking for locale `en_US` in provider `faker.providers.lorem`.
   DEBUG | factory.py | Line104 | 2022-09-06 14:48:37,030 | Provider `faker.providers.lorem` has been localized to `en_US`.
   DEBUG | factory.py | Line90 | 2022-09-06 14:48:37,030 | Looking for locale `en_US` in provider `faker.providers.misc`.
   DEBUG | factory.py | Line104 | 2022-09-06 14:48:37,030 | Provider `faker.providers.misc` has been localized to `en_US`.
   DEBUG | factory.py | Line90 | 2022-09-06 14:48:37,030 | Looking for locale `en_US` in provider `faker.providers.person`.
   DEBUG | factory.py | Line104 | 2022-09-06 14:48:37,046 | Provider `faker.providers.person` has been localized to `en_US`.
   DEBUG | factory.py | Line90 | 2022-09-06 14:48:37,046 | Looking for locale `en_US` in provider `faker.providers.phone_number`.
   DEBUG | factory.py | Line104 | 2022-09-06 14:48:37,061 | Provider `faker.providers.phone_number` has been localized to `en_US`.
   DEBUG | factory.py | Line115 | 2022-09-06 14:48:37,061 | Provider `faker.providers.profile` does not feature localization. Specified locale `en_US` is not utilized for this provider.
   DEBUG | factory.py | Line115 | 2022-09-06 14:48:37,061 | Provider `faker.providers.python` does not feature localization. Specified locale `en_US` is not utilized for this provider.
   DEBUG | factory.py | Line90 | 2022-09-06 14:48:37,061 | Looking for locale `en_US` in provider `faker.providers.ssn`.
   DEBUG | factory.py | Line104 | 2022-09-06 14:48:37,061 | Provider `faker.providers.ssn` has been localized to `en_US`.
   DEBUG | factory.py | Line115 | 2022-09-06 14:48:37,077 | Provider `faker.providers.user_agent` does not feature localization. Specified locale `en_US` is not utilized for this provider.
    INFO | simple_requests.py | Line21 | 2022-09-06 14:48:37,577 | 正在处理POST请求
   DEBUG | connectionpool.py | Line971 | 2022-09-06 14:48:37,577 | Starting new HTTPS connection (1): jmoliquery.api.bdymkt.com:443
